,Name,I[A],H[Oe]
0,HP6032A,18.0,2056.9
1,HP6032A,17.0,1959.5
2,HP6032A,16.0,1870.2
3,HP6032A,15.0,1768.1
4,HP6032A,14.0,1664.6
5,HP6032A,13.0,1558.3
6,HP6032A,12.0,1451.0
7,HP6032A,11.0,1342.4
8,HP6032A,10.0,1230.6
9,HP6032A,9.0,1116.1
10,HP6032A,8.0,999.9
11,HP6032A,7.0,882.0
12,HP6032A,6.0,763.5
13,HP6032A,5.0,643.4
14,HP6032A,3.9999999999999716,522.8
15,HP6032A,3.9499999999999718,518.2
16,HP6032A,3.899999999999972,513.8
17,HP6032A,3.849999999999972,509.2
18,HP6032A,3.7999999999999723,504.2
19,HP6032A,3.7499999999999725,498.7
20,HP6032A,3.6999999999999726,493.1
21,HP6032A,3.649999999999973,487.4
22,HP6032A,3.599999999999973,481.5
23,HP6032A,3.549999999999973,475.5
24,HP6032A,3.4999999999999734,469.6
25,HP6032A,3.4499999999999735,463.8
26,HP6032A,3.3999999999999737,457.9
27,HP6032A,3.349999999999974,451.9
28,HP6032A,3.299999999999974,445.8
29,HP6032A,3.2499999999999742,439.8
30,HP6032A,3.1999999999999744,433.7
31,HP6032A,3.1499999999999746,427.6
32,HP6032A,3.0999999999999748,421.7
33,HP6032A,3.049999999999975,415.8
34,HP6032A,2.999999999999975,409.8
35,HP6032A,2.9499999999999753,403.7
36,HP6032A,2.8999999999999755,397.6
37,HP6032A,2.8499999999999757,391.6
38,HP6032A,2.799999999999976,385.5
39,HP6032A,2.749999999999976,379.4
40,HP6032A,2.699999999999976,373.6
41,HP6032A,2.6499999999999764,367.7
42,HP6032A,2.5999999999999766,361.7
43,HP6032A,2.5499999999999767,355.5
44,HP6032A,2.499999999999977,349.3
45,HP6032A,2.449999999999977,343.3
46,HP6032A,2.3999999999999773,337.1
47,HP6032A,2.3499999999999774,330.7
48,HP6032A,2.2999999999999776,324.8
49,HP6032A,2.249999999999978,318.9
50,HP6032A,2.199999999999978,313.0
51,HP6032A,2.149999999999978,307.0
52,HP6032A,2.0999999999999783,300.9
53,HP6032A,2.0499999999999785,294.9
54,HP6032A,1.9999999999999787,288.7
55,HP6032A,1.9499999999999789,282.4
56,HP6032A,1.899999999999979,276.3
57,HP6032A,1.8499999999999792,270.4
58,HP6032A,1.7999999999999794,264.3
59,HP6032A,1.7499999999999796,258.3
60,HP6032A,1.6999999999999797,252.3
61,HP6032A,1.64999999999998,246.5
62,HP6032A,1.59999999999998,240.4
63,HP6032A,1.5499999999999803,234.1
64,HP6032A,1.4999999999999805,227.8
65,HP6032A,1.4499999999999806,221.6
66,HP6032A,1.3999999999999808,215.4
67,HP6032A,1.349999999999981,209.4
68,HP6032A,1.2999999999999812,203.4
69,HP6032A,1.2499999999999813,197.4
70,HP6032A,1.1999999999999815,191.2
71,HP6032A,1.1499999999999817,185.1
72,HP6032A,1.0999999999999819,179.0
73,HP6032A,1.049999999999982,173.1
74,HP6032A,0.9999999999999822,167.2
75,HP6032A,0.9499999999999824,161.3
76,HP6032A,0.8999999999999826,155.3
77,HP6032A,0.8499999999999828,149.4
78,HP6032A,0.799999999999983,143.3
79,HP6032A,0.7499999999999831,136.9
80,HP6032A,0.6999999999999833,130.8
81,HP6032A,0.6499999999999835,124.8
82,HP6032A,0.5999999999999837,118.6
83,HP6032A,0.5499999999999838,112.5
84,HP6032A,0.499999999999984,106.4
85,HP6032A,0.4499999999999842,100.3
86,HP6032A,0.39999999999998437,94.2
87,HP6032A,0.34999999999998455,88.0
88,HP6032A,0.2999999999999847,81.9
89,HP6032A,0.2499999999999849,75.9
90,HP6032A,0.19999999999998508,69.8
91,HP6032A,0.14999999999998526,63.7
92,HP6032A,0.09999999999998543,57.7
93,HP6032A,0.04999999999998561,51.7
94,HP6032A,-1.4210854715202004e-14,47.4
95,HP6032A,-0.05000000000001403,42.8
96,HP6032A,-0.10000000000001386,35.8
97,HP6032A,-0.15000000000001368,29.0
98,HP6032A,-0.2000000000000135,22.6
99,HP6032A,-0.2500000000000133,16.3
100,HP6032A,-0.30000000000001315,10.2
101,HP6032A,-0.35000000000001297,4.1
102,HP6032A,-0.4000000000000128,-2.0
103,HP6032A,-0.4500000000000126,-8.2
104,HP6032A,-0.5000000000000124,-14.1
105,HP6032A,-0.5500000000000123,-20.2
106,HP6032A,-0.6000000000000121,-26.2
